"SP","mLL","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","iX","iY"
1,-3148674.07632449,0.00011454578550011,2.32284912043085e-06,0.0792172438242018,0.0418946285102945,0.066666958491972,-0.188254361427843,0.0682780881835326,0.0515230543551722,0.0499465329750589,0,1.19810759390925,1.04336496163405
2,-3148474.58704883,0.00011454578550011,2.32284912043085e-06,0.0697277102602548,0.822841823349259,0.10325439036343,-0.183396848143915,0.21465806103689,0.230099436504357,0.0297609604696675,0,1.19810759390925,1.04336496163405
3,-3148586.43236846,0.00011454578550011,2.32284912043085e-06,0.0700801968119114,0.970764442891245,0.0884373369275709,-0.166738746037067,0.0377685913484561,0.166607378933188,0.0512316343692692,0,1.19810759390925,1.04336496163405
4,-3148304.13614751,0.00011454578550011,2.32284912043085e-06,0.0773540595390486,0.671034451756649,2.16549713052298e-06,0.203733652894266,0.0894262352654316,-0.103173181505523,0.0308878010821178,0,1.19810759390925,1.04336496163405
5,-3148231.03935763,0.00011454578550011,2.32284912043085e-06,0.0718094718250155,0.824938693750079,0.0290681754483322,0.142066542633219,-0.0279806565536437,0.167341732616989,-0.0137212314762935,0,1.19810759390925,1.04336496163405
6,-3148588.45299784,0.00011454578550011,2.32284912043085e-06,0.0736939083705358,0.971353859686319,0.0778617523966767,-0.163234375806415,0.111269785566792,0.0983001372181272,0.045811854043939,0,1.19810759390925,1.04336496163405
7,-3148682.38646942,0.00011454578550011,2.32284912043085e-06,0.0824739266692316,0.0468733005053378,0.0706241615984446,-0.16988199734578,0.080823850228659,0.0688822115098545,0.0477734829982294,0,1.19810759390925,1.04336496163405
8,-3148543.78619235,0.00011454578550011,2.32284912043085e-06,0.0704443135165499,0.627664795919768,0.101699511461687,-0.174634134602774,0.0366097197270715,0.238292645294711,0.0499550016582917,0,1.19810759390925,1.04336496163405
9,-3148562.57521889,0.00011454578550011,2.32284912043085e-06,0.0764061778106125,0.466818946059443,0.0733900756892202,-0.167238368429498,0.0544429227399139,0.0977268649676785,0.0478372332575064,0,1.19810759390925,1.04336496163405
10,-3148579.45012983,0.00011454578550011,2.32284912043085e-06,0.0789260915215055,0.265958680585394,0.0696526568790645,-0.16699786180442,0.142473919651363,0.057718537078234,0.0435192352493319,0,1.19810759390925,1.04336496163405
11,-3148564.00140569,0.00011454578550011,2.32284912043085e-06,0.0772874920997386,0.392366658254697,0.0736304489603062,-0.164344316733704,0.0765903154867873,0.0940819170167946,0.0447859360182904,0,1.19810759390925,1.04336496163405
12,-3148551.72768605,0.00011454578550011,2.32284912043085e-06,0.0707241386242639,0.696016899117518,0.101728202003878,-0.176816906621475,0.0709923707499275,0.237600702622563,0.0473166148835156,0,1.19810759390925,1.04336496163405
13,-3148564.16720373,0.00011454578550011,2.32284912043085e-06,0.0762948463694334,0.447521003610941,0.0745399427129387,-0.168013433129756,0.075468002733914,0.0968412299202414,0.0477611094704541,0,1.19810759390925,1.04336496163405
14,-3148664.44566902,0.00011454578550011,2.32284912043085e-06,0.084257827393494,0.0477259096518705,0.0668619653443485,-0.155841086048811,0.0721400519873867,0.0615559789594152,0.0405030598065867,0,1.19810759390925,1.04336496163405
15,-3148235.11910328,0.00011454578550011,2.32284912043085e-06,0.0758581791271183,0.610763748403452,0.0377870875389537,0.137774678193863,-0.0257353134777565,0.0978988160224087,-0.0093720105707846,0,1.19810759390925,1.04336496163405
16,-3148569.81126879,0.00011454578550011,2.32284912043085e-06,0.0690817260287968,0.968733206138076,0.102314407539931,-0.176495761111155,0.0354872620272476,0.24133390294999,0.049204540095422,0,1.19810759390925,1.04336496163405
17,-3148687.66195307,0.00011454578550011,2.32284912043085e-06,0.0806048891619022,0.0462969482032924,0.0702544494776374,-0.171210519598621,0.111325894902439,0.0668994296017377,0.0419579782691181,0,1.19810759390925,1.04336496163405
18,-3148565.67481335,0.00011454578550011,2.32284912043085e-06,0.0761464834357286,0.498980210662536,0.0744469771357172,-0.168066444060843,0.0774236915236432,0.0968506017975274,0.047075777472056,0,1.19810759390925,1.04336496163405
19,-3148564.83265812,0.00011454578550011,2.32284912043085e-06,0.0757933870943878,0.572275610560198,0.073621196708017,-0.169999718916188,0.0421232354322968,0.0962378556217141,0.0512231258652502,0,1.19810759390925,1.04336496163405
20,-3148212.51271819,0.00011454578550011,2.32284912043085e-06,0.0767161603090947,0.591800739527558,0.029744074012063,0.160675177116406,0.0667028748645207,0.100798094037875,-0.0189728215160776,0,1.19810759390925,1.04336496163405
21,-3148576.93270025,0.00011454578550011,2.32284912043085e-06,0.0746780136303252,0.691948717133695,0.0757579374252672,-0.162946095070962,0.0698912907882523,0.0986026120017906,0.0470372847604826,0,1.19810759390925,1.04336496163405
22,-3148183.13427152,0.00011454578550011,2.32284912043085e-06,0.080601885957647,0.569300682643151,2.85628933275166e-06,0.176521252775439,0.0146115437121329,0.0694532373996495,0.00721120301115945,0,1.19810759390925,1.04336496163405
23,-3148315.19580388,0.00011454578550011,2.32284912043085e-06,0.0774183531984128,0.660531537834696,3.71730790984783e-07,0.200550366776032,0.0167868109552256,-0.104529801706272,0.0364512147429108,0,1.19810759390925,1.04336496163405
24,-3148229.10914582,0.00011454578550011,2.32284912043085e-06,0.0772580058119089,0.53369610761096,0.0414395332653328,0.128144225940558,-0.0217613702061332,0.0958573301286109,-0.00863386795371768,0,1.19810759390925,1.04336496163405
25,-3148307.49202237,0.00011454578550011,2.32284912043085e-06,0.0764843787032423,0.621394660820732,2.23861788450527e-06,0.195791942478531,0.0206845505655099,-0.106411541538557,0.0296129969295063,0,1.19810759390925,1.04336496163405
26,-3148244.58101794,0.00011454578550011,2.32284912043085e-06,0.074933090109393,0.752658907688413,0.0401433729569382,0.132135531103128,-0.0246139442526389,0.0988961376228571,-0.0101807408758018,0,1.19810759390925,1.04336496163405
27,-3148544.94911505,0.00011454578550011,2.32284912043085e-06,0.0721685957965917,0.550179277505641,0.086475090505433,-0.159313215376027,0.00855262907872487,0.167476969607538,0.0495437975416871,0,1.19810759390925,1.04336496163405
28,-3148575.38273008,0.00011454578550011,2.32284912043085e-06,0.0747477972252855,0.687926280171909,0.0748434116528214,-0.164669307370866,0.0499800440582858,0.0989236289749126,0.0490594894674697,0,1.19810759390925,1.04336496163405
