"SP","mLL","piX","piY","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","iX","iY"
1,-1023064.77285886,1.1542614996108e-05,8.2618516871708e-05,0.109157173156379,0.023131782861247,0.102852662048711,0.0355918393593775,-0.110582891366296,0.0960490909259116,-0.0144743906953877,0,1.07592182039876,1.08359024570797
2,-1023051.88838434,1.1542614996108e-05,8.2618516871708e-05,0.120643526357141,0.0240771194955797,0.105589712361171,0.00653918619473903,0.105846703910244,0.115632516611811,-0.0304465472759152,0,1.07592182039876,1.08359024570797
3,-1023041.1449789,1.1542614996108e-05,8.2618516871708e-05,0.120028682314675,0.0224085477663889,0.0995281369188176,-0.0273347299237026,0.114019044738298,0.21310370004863,-0.0165219729585725,0,1.07592182039876,1.08359024570797
4,-1023013.59935857,1.1542614996108e-05,8.2618516871708e-05,0.122079609670587,0.0221052933946033,0.116005898206165,-0.0429493439966471,0.10063102152499,0.406835365638938,-0.0235727203575295,0,1.07592182039876,1.08359024570797
5,-1023075.03021465,1.1542614996108e-05,8.2618516871708e-05,0.106059596418343,0.0225502741921571,0.108240315171572,0.0276052198151696,0.103163387708251,-0.237357071197255,-0.0115746006891381,0,1.07592182039876,1.08359024570797
6,-1023072.46302254,1.1542614996108e-05,8.2618516871708e-05,0.120609886440501,0.0227169748636192,0.100260009105167,0.0261530446797223,0.10096866959125,-0.240980202820001,-0.0125720981856484,0,1.07592182039876,1.08359024570797
7,-1023074.99025436,1.1542614996108e-05,8.2618516871708e-05,0.108013752181979,0.0227513321034405,0.110407086151086,0.0293518422633335,0.0999759402132299,-0.251098397408609,-0.0125309375124431,0,1.07592182039876,1.08359024570797
8,-1023056.67992595,1.1542614996108e-05,8.2618516871708e-05,0.111629502456704,0.0229861425904424,0.115124519361386,0.0118875941708509,0.10520160477123,0.0670195374735379,-0.0260415057368875,0,1.07592182039876,1.08359024570797
9,-1023080.17848538,1.1542614996108e-05,8.2618516871708e-05,0.109657270497791,0.0223768139919521,0.113610138565009,0.0578547649501655,-0.105108305900405,-0.201917327798915,-0.00479535495580759,0,1.07592182039876,1.08359024570797
10,-1023080.80844801,1.1542614996108e-05,8.2618516871708e-05,0.110802665334141,0.0224061273062919,0.115272292823533,0.0510332691990674,-0.103341931620414,-0.188366711763585,-0.00239322587663028,0,1.07592182039876,1.08359024570797
11,-1023072.83971637,1.1542614996108e-05,8.2618516871708e-05,0.118883694521686,0.0226301410665219,0.106732162901813,0.0295142268125755,0.0959354844490154,-0.224395308110989,-0.00735571417246524,0,1.07592182039876,1.08359024570797
12,-1023080.5598176,1.1542614996108e-05,8.2618516871708e-05,0.108491427417529,0.0227435398682237,0.115790764894329,0.050443915480341,-0.106444429124468,-0.176479080355214,-0.0020333158767923,0,1.07592182039876,1.08359024570797
13,-1023075.09811429,1.1542614996108e-05,8.2618516871708e-05,0.107025488015566,0.022745840739723,0.109791277826611,0.0279392733356014,0.101446958896015,-0.23853247922875,-0.0116409182086537,0,1.07592182039876,1.08359024570797
