"mLL","h2X","h2Y","tX","tY","axy","ayx","iXY","conv","start_ind","end_ind"
-1017792.26108567,0.11089449341358,0.0226022009300641,0.116849210561213,0.0518743606253315,-0.108306770298121,-0.223980244564523,0.000764764803881175,0,1,712
-1018047.07008482,0.107524109404526,0.0223195315201735,0.115590559835333,0.0511566214249714,-0.106210500816203,-0.244444802950763,0.00144941871685487,0,713,1424
-1018093.4064407,0.106267013528923,0.0223723967919584,0.113257822735043,0.0518035195827767,-0.106297212032183,-0.233992203452163,0.00207924801048215,0,1425,2136
-1018029.12430916,0.105280992512351,0.022510372163682,0.117512767961,0.0529914906326828,-0.102113506655277,-0.228253745621367,0.00022381793706549,0,2137,2848
-1017912.35546613,0.110106533706665,0.0224746470382118,0.118854164925304,0.0550941152201576,-0.105954394897936,-0.233035801686247,-0.000175422058989319,0,2849,3560
-1017905.14464366,0.108792336782023,0.0226094578230837,0.115036189434539,0.0522756987640435,-0.106552649454144,-0.219110157959695,-0.000697777738776088,0,3561,4272
-1017993.99445933,0.111394255799832,0.022562476040409,0.117816194189222,0.0540146745945229,-0.103290485253743,-0.232611748512938,-0.000393859281606076,0,4273,4984
-1017998.92565675,0.107336562132187,0.0223345557284092,0.119091145195108,0.0542148547544722,-0.106267404888781,-0.227373413540738,-0.000220240793664657,0,4985,5696
-1017982.37642663,0.110170287009902,0.0225771118203466,0.11340035130368,0.0495784550938061,-0.106051943056543,-0.207079481376763,1.09797318696217e-06,0,5697,6408
-1018075.74284417,0.109271180861825,0.0226205257408489,0.114609703512338,0.0501266771812275,-0.106235702888308,-0.241324430510778,0.000903693617152663,0,6409,7120
-1017972.89412343,0.109563211538718,0.0225999988386596,0.112884572014545,0.0527691004258196,-0.107586239110933,-0.231543864582012,0.00136585950355054,0,7121,7832
-1018118.91033745,0.112886826833132,0.0224814029138128,0.115736360455177,0.0524415070534659,-0.107094405675278,-0.223799589236512,0.000776793237835823,0,7833,8544
-1017981.96762149,0.111685443684887,0.0220279894681328,0.115465880877774,0.0515458287114275,-0.10504179075005,-0.235220126534416,0.00130899535758863,0,8545,9256
-1017930.33621726,0.110579735788061,0.0223944804542612,0.11860019660458,0.0545659774411944,-0.103273573970263,-0.216842737769194,-0.00319583309387323,0,9257,9968
-1017802.9384514,0.112283906832709,0.0225506227392854,0.117562389747954,0.0517036023919295,-0.10437869289634,-0.202928357996238,-0.00200714629891487,0,9969,10680
-1017856.69362268,0.11151999853751,0.0220626442072193,0.118206728689603,0.0530288478723558,-0.105250007509324,-0.226399087861338,-0.00116873972577948,0,10681,11392
-1017882.38655022,0.11262532528772,0.0221843337309934,0.116983079080933,0.0525829234052254,-0.1066865989105,-0.218003715938565,-0.000780846985516022,0,11393,12104
-1018477.03399673,0.0957216049157871,0.022403822832133,0.113588427431306,0.0528604851245049,-0.117859542561661,-0.228648088624329,0.00228920049222286,0,12105,12816
-1017935.97722863,0.112739585821586,0.0224652779385711,0.117951478788248,0.0526262012672173,-0.10578609915585,-0.201492266266336,-0.00181002218006386,0,12817,13528
-1018291.46223082,0.106166864163792,0.0218749328761395,0.114534298749093,0.0532744643210677,-0.107732947695013,-0.266562266052584,0.00162759967227587,0,13529,14240
-1018055.01596292,0.108624941829252,0.0227506175497166,0.114681963631101,0.0547513671755671,-0.106038131164431,-0.233752322673701,0.00099021996738891,0,14241,14952
-1017899.80429106,0.110548345731227,0.0224116631623717,0.117620822737166,0.0525539988352865,-0.105522788541155,-0.223511329900501,3.70623455229499e-05,0,14953,15664
-1017976.93372817,0.111647915830248,0.022692416813237,0.119041487104216,0.0509255799870417,-0.105466529649961,-0.193497514934656,-0.00205168910546846,0,15665,16376
-1017986.03337465,0.111837114814255,0.0225444914641241,0.11688247537661,0.0510127903882505,-0.106412429128647,-0.19923331773353,-0.00140894312811125,0,16377,17088
-1018093.74819624,0.105336971233116,0.0225901009525262,0.116202564393151,0.052736726291432,-0.104866070103229,-0.230593699698582,-0.00241658093030838,0,17089,17800
-1018251.40183722,0.106715596410192,0.0224330263162546,0.114635574758784,0.0511146622233871,-0.104340252444568,-0.23298580463376,0.00113819250370392,0,17801,18512
-1017833.19624112,0.111215472495069,0.0226265724811371,0.11916850473932,0.0530353206677826,-0.105294666877814,-0.227690354369508,-0.000250931732213624,0,18513,19224
-1018044.47929991,0.109748265045438,0.022310575847736,0.118504628472523,0.0524258913221385,-0.106551733911501,-0.234162910686354,0.00110192980202562,0,19225,19936
-1017860.44654504,0.110175746099148,0.0226220838086549,0.119114501381027,0.0534474568121823,-0.104679999460237,-0.214946983685007,-0.000795286397723343,0,19937,20648
-1018036.48182249,0.110973462701456,0.02241332127858,0.118381325345631,0.054328334629019,-0.107745399533739,-0.211984105052172,-0.00174172823293091,0,20649,21360
-1018079.99815111,0.108821817076242,0.0226173911446006,0.115032695150351,0.0495159391605659,-0.101531223703137,-0.192036519448322,-0.00216474548830421,0,21361,22072
